,username,tweet_id,tweet_text,vader_neg,vader_neu,vader_pos,vader_compound
0,faeriequeenella,1552228116780748806,"RT @nick_huggins_: Truly overwhelmed by the outpouring of messages and calls today. 

I love my country and I love seeing the sense of prid…",0.0,0.59,0.41,0.91
1,MARCELO74462574,1552228115694424066,"RT @gaydickmature: SITE
https://t.co/A2d1ORGRgF
----
#GAY #grandpagay  #OLDERGAY 
USE GOOGLE CHROME ANDROID SYSTEM - CLICK ADS OPEN - wait…",0.0,1.0,0.0,0.0
2,Billa_bonga,1552228113752510464,"@lambsenglish @henokdata You’re the one who needs to do a lot of reading.

Your other problem is referencing Google.

We don’t research via google here. Please respect me.",0.084,0.748,0.168,0.4019
3,TThPhngTho3,1552228113060610048,"RT @KlaytnGames: 📸2nd $NPT Giveaway event
Missed chance on 1st event?

40NPT for 25 winners each!

7/26(Tue)~8/2(Tue)

Rules🔽

1️⃣ Follow @…",0.086,0.703,0.211,0.4926
4,b_m051,1552228112737378304,"@JackGegg @lostinhist0ry 3. I don't need to repeat my point which @fakehistoryhunt liked, as it held merit, as you did not understand first time, so making people like you understand if the same thing is repeated 100 times, just a suggestion, do a simple google search before insulting others, #blocked",0.059,0.788,0.153,0.6326
5,34EUZqvQ7gTEbwo,1552228109537214466,"RT @metchomr47: Good morning guys 🖌️❤️.
I would like to distribute this card so that everyone can benefit 💨❤️.
Retweet to benefit .
downloa…",0.0,0.612,0.388,0.886
6,miyeonzhaul,1552228107834126336,"RT @juyeomicart: wts lfb tbz ph go

THE BOYZ 7th Mini Album 
&lt; BE AWARE &gt; - SEALED ALBUM  

💵 400 per album, 1150 per set
🗓 70% downpayment…",0.0,1.0,0.0,0.0
7,RubelAh02881903,1552228107586703361,"RT @BitMartExchange: 🚀To celebrate @LiteUsd (LITE) listing, win 182.4 $LITE ($5,000 Worth)!
 
1⃣Follow @BitMartExchange &amp; @LiteUsd
2⃣RT &amp; t…",0.0,0.686,0.314,0.8313
8,AyoolaShereef,1552228107083546625,"RT @KuCoinAfrica: As ""The people's Exchange "", Our strength lies with the people so we're launching a campaign to celebrate our 20m users m…",0.094,0.673,0.232,0.6249
9,kanssuy,1552228106366160896,"ׅ ࣪ ˓˓ 🪷⠀── ⊹ greetings folks ♡ ! 🥛🎀

𝗵𝗲𝗿𝗲 i offering you the greatest ★ 𝗽𝗿𝗲mi𝘂m 𝗮𝗽ps ☆ yang lengkap, legal dan full garansi ≧◡≦ 100% trustable?! 🗯

shoO check the details &amp; testimonies here https://t.co/dAKSEKnl8F and lets ordering! 🫶🏻🧺 https://t.co/5ivwhWT5Xp",0.0,0.768,0.232,0.8547
10,tw0015563,1552228105984434176,@Veronic96404118 @AllisonBabyhot Do you have poke balls for this Pokémon?😈❤️‍🔥🔞👇👇 https://t.co/muUTPvW7DM,0.0,1.0,0.0,0.0
11,brghtwin,1552228105938694144,@nujsance oooohh so the google lens is right,0.0,1.0,0.0,0.0
12,SeanTan17830899,1552228105888190468,"RT @Eniteforte: Fortnite 5000 #Vbucks Giveaway

- RT
- Follow 
@Eniteforte 
more info here   https://t.co/rgNh8iz2oV
Ends in 5Hours Good Lu…",0.0,0.854,0.146,0.4404
13,ole_ympia,1552228104734515201,RT @tanisthelesbiab: it's amazing how much search engine optimisation has ruined google to where you'll get a bunch of crap websites with n…,0.189,0.598,0.213,0.1779
14,web4x4_es,1552228103702953985,Improve responsiveness with session affinity on Cloud Run #googlecloud #gcp #cloud https://t.co/0diqD49zU9,0.0,0.791,0.209,0.4404
15,gugucone69,1552228101014552576,"RT @harulorss: ❕HELP RT❕WTS LFB PH GO
THE BOYZ 7TH MINI ALBUM - BE AWARE

💸 ₱200 random ver
💸 ₱600 set
- albums will be used for fansign, h…",0.0,1.0,0.0,0.0
16,KanakChouhan03,1552228100271878149,RT @supersiri20: #JEEMains2022 Aspirants A Google Form has been made regarding server issue which is been faced by students giving second a…,0.0,0.893,0.107,0.34
17,AbsoluteAbaddon,1552228100003565569,"https://t.co/bZx7vmSct0

Method for building, using and moving a universal means of transportation
WO2001061189A2 https://t.co/FK4xSe5N8t",0.0,1.0,0.0,0.0
18,moe_yip,1552228098992525312,"RT @livenationph: Carats! 💎

Due to demand, we are opening LB SRO tickets for SEVENTEEN WORLD TOUR [BE THE SUN] - MANILA tomorrow, July 28,…",0.075,0.925,0.0,-0.2003
19,jasrush070,1552228098971672578,@Yadah21 @z7654321 @LordIanAustin @Never_Again2020 Not addressing the occupation and apartheid happening today though Kev. Back to Google you go.,0.0,1.0,0.0,0.0
20,my_watchman,1552228098426511361,"Don’t be a spacer.  

Download My Watchman ™️ app from Google play store or Apple store and let us keep an eye out for you.

#mywatchman #liberianskilling_it #techforgood #innovation #change #tech4good #libtakeover https://t.co/9zlZBkGfDG",0.0,0.928,0.072,0.34
21,iamkayepop,1552228097205751810,"RT @philconcerts: 400 LB SRO tickets for #BETHESUNinMNL will be available tomorrow, July 28, 10AM to 1PM.

8950 LB SRO (Standing Room Only,…",0.0,1.0,0.0,0.0
22,Markste02718281,1552228096027271170,@CrazyLadyTrader Google and Microsoft are the only stocks where even missing earnings is bullish. Wall Street sweethearts.,0.105,0.714,0.181,0.3818
23,Abhishe04354030,1552228095754928128,"RT @MiningDevs: 1️⃣ Follow the Medium, YouTube, and Twitter accounts and Telegram Group of Miningdevs.

2️⃣ Tell your friends about this Gi…",0.0,0.871,0.129,0.4767
24,1teurese2,1552228094445989888,"RT @CandyPop_ShopPH: ،،̲ ✶ #candypopphgo | twice ph go

𓄴 wts lfb ph twice 11th mini album 
""between 1&amp;2""

🍫 695 php

with ktown4u pob ✅
ca…",0.0,1.0,0.0,0.0
25,Vonnerrs,1552228094215602176,"RT @philconcerts: 400 LB SRO tickets for #BETHESUNinMNL will be available tomorrow, July 28, 10AM to 1PM.

8950 LB SRO (Standing Room Only,…",0.0,1.0,0.0,0.0
26,Bob_Gaius,1552228094005714944,RT @asemota: I am very embarrassed by all these tech and money takes on Nigerian tech twitter. The people who have made proper tech money d…,0.104,0.896,0.0,-0.4201
27,eiffiquete,1552228089987354624,"RT @philconcerts: 400 LB SRO tickets for #BETHESUNinMNL will be available tomorrow, July 28, 10AM to 1PM.

8950 LB SRO (Standing Room Only,…",0.0,1.0,0.0,0.0
28,ccat_u,1552228089668960257,"RT @BitMartExchange: #SundayFunday Can you finish this puzzle?🧐
 
1️⃣ Follow us, RT &amp; tag 3 friends
2️⃣ Sign up: https://t.co/e1Z81sLY1Y…",0.0,0.853,0.147,0.4767
29,japersdizzle,1552228088917917702,Wish Google earth would update so I can see my lovely garden from space,0.0,0.629,0.371,0.7579
30,michael16501832,1552228087475183616,"RT @beirbuapress: Interested in publishing some autoethnography - either on creative practice or as lens for creative outlet.
Font 10, SING…",0.0,0.667,0.333,0.8176
31,ShaileshSinh16,1552228086728380421,"RT @gemgala_io: 10k Special Giveaway for All User.
Every valid Participant will receive  $2-$4 Gem.

1) Follow @gemgala_io
2) Like and Retw…",0.0,0.794,0.206,0.6369
32,amituofo333,1552228085340450817,"@CherryJerome8 @DtoolsTeam Welcome to Google to search and verify, the pre-sale registration has now started, the token starts from 0.28 USD, and the price increases every day! Check the price link https://t.co/mKLFzRMo9e
Download link:
https://t.co/ohOkUlBnar",0.0,0.912,0.088,0.5093
33,Gooieart,1552228082446209024,"@man09621 🥳Congratulations! You can claim one of 100 free WL @playmetalcore in-game NFT characters!
✅To claim simply tweet a picture of https://t.co/LZK6HLDVlR (password: nft) with character was gifted to you and #NUMBER of collection!
❗️You can see #NUMBER  right bottom at the picture",0.0,0.908,0.092,0.6341
34,BrummieTom,1552228079241666561,@Bigbaz1875 Yeah a quick google suggests there’s a couple places so should be good!,0.0,0.639,0.361,0.6864
35,switch_hit18,1552228077819727873,Thank you @Google 🥳💜 https://t.co/BusQKE4Bhf,0.0,0.615,0.385,0.3612
36,kanssuy,1552228076213243904,"ׅ ࣪ ˓˓ 🪷⠀── ⊹ greetings folks ♡ ! 🥛🎀

𝗵𝗲𝗿𝗲 i offering you the greatest ★ 𝗽𝗿𝗲mi𝘂m 𝗮𝗽ps ☆ yang lengkap, legal dan full garansi ≧◡≦ 100% trustable?! 🗯

shoO check the details &amp; testimonies here https://t.co/dAKSEKnl8F and lets ordering! 🫶🏻🧺 https://t.co/2DY8pOz4QF",0.0,0.768,0.232,0.8547
37,LeThimngTuyn1,1552228075663941632,"Sorry mate 
This was the same issue i had with my metamask wallet  until I wrote to their instant support team and it was rectified . I think you should write to them too .this is the link ..Goodluck
https://t.co/95ksyzfZZN https://t.co/7ZY89CPZJo",0.033,0.897,0.069,0.34
38,choibfs,1552228072065118208,lnph is so unserious 😭 google forms tas fanbase pa mag hhandle like..??😭😭😭 https://t.co/UfIhhj66Rv,0.0,1.0,0.0,0.0
39,UKRoadCheck,1552228071100522496,"27/07/22 - 10:40. #UKRoads #A35 #Dorset
The A35 eastbound between the A352 and the junction with the A354 Puddletown. Delays expected. Best avoid (if possible)
#UKTraffic #Transport #Congestion https://t.co/DkPCc3b6Y9",0.068,0.802,0.13,0.4588
40,troll_hell,1552228069821370368,"@NJfreethinker @JessieWJames2 @GeorgePapa19 https://t.co/DiaikvNIMn

Apparently she wasn't lying here.",0.0,0.742,0.258,0.4168
41,Milkionad,1552228069548576769,"RT @IDLE_LUCA: Ta-da!🥳 Chief, @IDLE_LUCA has just been released! Start the app NOW and get generous launch special rewards!

✔️App Store: h…",0.0,0.656,0.344,0.8743
42,GerwinCook2,1552228069527564288,RT @AliceKa0065249: Am still available for hookup tonight till tomorrow morning if you’re interested text me on google chat right now here…,0.0,0.886,0.114,0.4019
43,izonexoo,1552228069062381568,"RT @cutiesbutpsycho: ➳ EXO 10th debut anniversary Photocard Template / Pc List / Photocard list / PC template ☆

❌ Please Don’t remove my c…",0.0,0.887,0.113,0.3182
44,MysTreena,1552228067573104642,RT @hannytalker: Contrary to popular belief coding is not the only aspect of tech that pays well. There is one aspect that is underrated ye…,0.0,0.824,0.176,0.5994
45,AinaAfiza3,1552228066092470273,"RT @JiaXin150526: ［🇲🇾MYGO] Seventeen Sector 17 Lucky draw event round 2

Price : RM85 exclude ems and postage 
📌All ld need to buy with Non…",0.074,0.817,0.109,0.2263
46,8EVENTEEN,1552228063278432256,"RT @philconcerts: 400 LB SRO tickets for #BETHESUNinMNL will be available tomorrow, July 28, 10AM to 1PM.

8950 LB SRO (Standing Room Only,…",0.0,1.0,0.0,0.0
